"","intlower","int","inthigher","intwidth","intcoverage","intbias","intsd","x1lower","X1","x1higher","x1width","x1coverage","x1bias","x1sd","x2lower","X2","x2higher","x2width","x2coverage","x2bias","x2sd","sig2lower","sig2","sig2higher","sig2width","sig2coverage","sig2bias","sig2sd","philower","phi","phihigher","phiwidth","phicoverage","phibias","reslower","res","reshigher","reswidth","rescoverage","resbias","resd","sig0bias","RMSE"
"42",-1.85172756378149,-1.81937140997438,-1.78701525616726,0.0647123076142244,1,-0.0193714099743765,0.01650021264815,0.126541980864074,0.146296778567156,0.166051576270238,0.0395095954061637,1,-0.00370322143284366,0.010074076321469,0.403639840540448,0.581331201840103,0.759022563139757,0.355382722599309,1,-0.118668798159897,0.0906147641855718,0.272574018134914,0.406774970356444,0.607049335225293,0.33447531709038,1,-0.093225,0.0830894508760369,-0.0471055619412621,-0.00119891696350825,0.0447127818211173,0.0918183437623794,1,-0.00119891696350825,0.23718329164842,0.250998044069046,0.265617437419971,0.0284341457715505,1,0.000997999999999999,0.00724986875468989,0.000997639215001567,0.245696424758289
"43",-1.80354772810049,-1.77138420664753,-1.73922068519457,0.0643270429059206,1,0.0286157933524656,0.0164019786359937,0.125351123760709,0.145107440609114,0.164863757457519,0.0395126336968097,1,-0.00489255939088618,0.0100748510186416,0.581241876811165,0.763704658629671,0.946167440448177,0.364925563637011,1,0.0637046586296712,0.0930479783946563,0.288282270683239,0.429119518214457,0.638761310142942,0.350479039459703,1,-0.0708805,0.0870943339573272,-0.0597854809112813,-0.0175011286281636,0.0248459185106908,0.0846313994219721,1,-0.0175011286281636,0.237108555296965,0.250917134992354,0.265529890112647,0.0284213348156819,1,0.000917100000000004,0.00724660333013681,0.000840246726081684,0.245716432111767
"44",-1.84688102204707,-1.81467241340457,-1.78246380476207,0.0644172172849986,1,-0.0146724134045693,0.0164249711158643,0.124669734762848,0.144373298733882,0.164076862704916,0.0394071279420685,1,-0.00562670126611806,0.0100479493757701,0.383887476799957,0.584070511911781,0.784253547023605,0.400366070223647,1,-0.115929488088219,0.102084526720575,0.347709926192125,0.517305276706117,0.76962067847361,0.421910752281485,1,0.0173053,0.104852472099546,-0.0483949013663265,-0.00644562606228124,0.0355263477335681,0.0839212490998946,1,-0.00644562606228124,0.235889926283319,0.249628484232177,0.264167194936552,0.0282772686532331,1,-0.000371499999999997,0.0072098701851275,-0.000381871089459279,0.244380507385153
"45",-1.83916266346296,-1.8072824831125,-1.77540230276205,0.0637603607009125,1,-0.0072824831125049,0.0162574871593137,0.13171819896245,0.151239661944164,0.170761124925878,0.0390429259634279,1,0.00123966194416406,0.00995508589560689,0.605722154244654,0.784336682595586,0.962951210946518,0.357229056701864,1,0.0843366825955864,0.0910855387018091,0.276320126906154,0.411140925279676,0.611742844549423,0.335422717643268,1,-0.0888591,0.083357410448271,-0.0501881693111941,-0.00901546238231526,0.0321878356189555,0.0823760049301496,1,-0.00901546238231526,0.23153328660861,0.245016411982653,0.259284714609241,0.0277514280006313,1,-0.0049836,0.00707579723889856,-0.00500351458065032,0.239888628875483
"46",-1.85213878097546,-1.82008898573932,-1.78803919050317,0.0640995904722872,1,-0.0200889857393154,0.0163439832768317,0.106536865658665,0.126170277343978,0.14580368902929,0.0392668233706246,0,-0.0238297226560222,0.0100121748013547,0.645006725978853,0.857611351689808,1.07021597740076,0.425209251421909,1,0.157611351689808,0.108418990561233,0.392525705368925,0.584003379730455,0.868885636970045,0.47635993160112,1,0.0840034,0.118383457477101,-0.0524542525396573,-0.010150583353617,0.032189451787551,0.0846437043272082,1,-0.010150583353617,0.234184211710794,0.247822249837375,0.262254517782369,0.0280703060715746,1,-0.00217780000000001,0.00715710146696041,-0.00220333419741378,0.242636338979296
"47",-1.82951564036769,-1.7976702618228,-1.76582488327791,0.0636907570897742,1,0.00232973817719895,0.016239739772036,0.144191548401357,0.163592334836659,0.182993121271961,0.0388015728706034,1,0.013592334836659,0.00989354617462162,0.485031974249303,0.662170603020382,0.839309231791461,0.354277257542157,1,-0.0378293969796181,0.0903328949524911,0.271550931199867,0.40435869410881,0.602118920303161,0.330567989103295,1,-0.0956413,0.0821425687466124,-0.038690199013551,0.00445317340879242,0.0475799740363641,0.0862701730499151,1,0.00445317340879242,0.228847178221591,0.242179593513737,0.256288742427437,0.0274415642058459,1,-0.00782040000000001,0.00699678797840624,-0.00782520260392822,0.237021860269679
"48",-1.82600785286801,-1.79333868482661,-1.7606695167852,0.0653383360828115,1,0.0066613151733943,0.0166598361144783,0.125526783355696,0.14543509623003,0.165343409104364,0.0398166257486678,1,-0.00456490376997018,0.0101523622940687,0.33045413384215,0.502267403803115,0.67408067376408,0.34362653992193,0,-0.197732596196885,0.0876171966244883,0.255315191292629,0.380002816885379,0.565583818611548,0.310268627318918,1,-0.1199972,0.0771031816782679,-0.0378442841821346,0.0037277655310511,0.0452869341455365,0.0831312183276711,1,0.0037277655310511,0.240966230563095,0.255003274053187,0.269858019631585,0.0288917890684894,1,0.00500329999999999,0.00736655323638164,0.00499975641399952,0.249584018102273
"49",-1.80980501604935,-1.77770396629814,-1.74560291654693,0.0642020995024244,1,0.0222960337018605,0.0163701208209555,0.129776407360332,0.149569267085426,0.169362126810519,0.0395857194501874,1,-0.000430732914574239,0.010093486275469,0.593952023026582,0.804263617010713,1.01457521099484,0.420623187968263,1,0.104263617010713,0.107249645424382,0.383635804330215,0.571333721525323,0.850864850641017,0.467229046310802,1,0.0713337000000001,0.116099423211836,-0.0673122080764094,-0.0281787361746965,0.011041302831737,0.0783535109081464,1,-0.0281787361746965,0.238039332172427,0.251903904092616,0.266576016316231,0.0285366841438034,1,0.00190390000000001,0.00727601303827669,0.00170387793191112,0.246750217310725
"50",-1.8195751910483,-1.78731438049209,-1.75505356993587,0.0645216211124291,1,0.0126856195079124,0.0164515917915502,0.129743679083165,0.149330503778688,0.168917328474212,0.0391736493910463,1,-0.000669496221311572,0.00998841748944614,0.661600076234853,0.855642848477274,1.04968562071969,0.388085544484842,1,0.155642848477274,0.0989532632315748,0.32676454206595,0.485873818884572,0.722457113568435,0.395692571502485,1,-0.0141262,0.0983439326893878,-0.0273849403708754,0.0131476681214659,0.0536371147487279,0.0810220551196033,1,0.0131476681214659,0.23345227598745,0.247055737020648,0.261451883202445,0.0279996072149953,1,-0.00294430000000001,0.00713907095197313,-0.00298700633909452,0.241746906762879
"51",-1.86466760178522,-1.8320875445398,-1.79950748729438,0.0651601144908436,1,-0.0320875445398019,0.0166143935352476,0.12661158302436,0.146490588466729,0.166369593909098,0.039758010884738,1,-0.00350941153327117,0.0101374167952163,0.500239895838991,0.674922551486423,0.849605207133856,0.349365311294865,1,-0.0250774485135765,0.089080456883372,0.264198756495025,0.392941926909797,0.584421213680057,0.320222457185032,1,-0.1070581,0.0795842608590523,-0.0397111135067636,0.000451954480527292,0.0406135644501892,0.0803246779569528,1,0.000451954480527292,0.240200759020894,0.254191681340464,0.268997529924839,0.0287967709039449,1,0.00419170000000002,0.00734232724353468,0.00419164807807831,0.248812551042287
