"","intlower","int","inthigher","intwidth","intcoverage","intbias","intsd","x1lower","X1","x1higher","x1width","x1coverage","x1bias","x1sd","x2lower","X2","x2higher","x2width","x2coverage","x2bias","x2sd","Vx2lower","Vx2","Vx2higher","Vx2width","Vx2coverage","Vx2bias","Vx2sd","sig2bias","philower","phi","phihigher","phiwidth","phicoverage","phibias","phisd","sig0lower","sig0","sig0higher","sig0width","sig0coverage","sig0bias","sig0sd","RMSE"
"48",-1.82069148845105,-1.79272850720106,-1.76475657078684,0.0559349176642105,1,0.00727149279893613,0.0169799664697218,0.124991396750952,0.142024905231841,0.159062045901673,0.0340706491507216,1,-0.00797509476815919,0.0103427237490801,0.484386678902453,0.651782404489351,0.819199019725295,0.334812340822842,1,-0.048217595510649,0.101776775052657,0.37670258570876,0.512658591731092,0.706391209824285,0.329688624115525,1,0.0126585917310917,0.101077936332745,-0.499835778057188,0.999839820204876,0.999944024780432,0.999985176278008,0.000145356073132152,0,0.999944024780432,4.85156797124941e-05,0.250327727570979,0.262550105644218,0.275439930006504,0.0251122024355245,0,0.012550105644218,0.00761082104170375,0.255124844291822
"49",-1.79152581095017,-1.76466376477273,-1.73779570098091,0.053730109969266,0,0.0353362352272657,0.0163106852355218,0.135562037386907,0.151913663800653,0.168269355857658,0.032707318470751,1,0.00191366380065341,0.0099288560981798,0.523151373311335,0.677889105197784,0.832625592591078,0.309474219279742,1,-0.0221108948022161,0.0940800610660923,0.324280768513338,0.437087092526453,0.609182370092604,0.284901601579266,1,-0.0629129074735469,0.0876917710934552,-0.499737018661705,0.999699120711222,0.99987235834434,0.999955494234277,0.000256373523055187,0,0.99987235834434,8.26966485950439e-05,0.229126625936204,0.240634401148196,0.252432166168462,0.0233055402322575,1,-0.00936559885180377,0.00706214129632665,0.232507090341864
"50",-1.84485444639914,-1.8178846642984,-1.79090794467138,0.0539465017277647,1,-0.0178846642983983,0.0163763712198636,0.151720914539285,0.16814442246714,0.184571526362939,0.0328506118236545,0,0.0181444224671402,0.00997236284592641,0.704512030424905,0.861969261572182,1.01944540991797,0.314933379493062,0,0.161969261572182,0.0957307122818207,0.327685279188239,0.455851317826299,0.622979112869218,0.295293833680979,1,-0.0441486821737008,0.0901908378753538,-0.499800456476168,0.999781106955532,0.999919181864152,0.999975573333592,0.00019446637805931,0,0.999919181864152,6.44991482213428e-05,0.232245843362418,0.243678518544022,0.255660817083228,0.02341497372081,1,-0.00632148145597763,0.00709610955339023,0.236299834605108
"51",-1.84445424677904,-1.81709914730324,-1.78973702943377,0.0547172173452719,1,-0.0170991473032363,0.0166103291839063,0.113922941139421,0.13058039434005,0.147241290155909,0.0333183490164881,0,-0.0194196056599505,0.0101143510320814,0.570118290212865,0.727087548269903,0.884049580118165,0.313931289905301,1,0.0270875482699027,0.095431642108792,0.33263376416932,0.450836528443158,0.623602399625563,0.290968635456243,1,-0.0491634715568422,0.0893280218884289,-0.499804066239793,0.999782676157879,0.999918784230264,0.999976324501638,0.000193648343758568,0,0.999918784230264,6.3763484325662e-05,0.238996152096079,0.250673147554737,0.263076460052911,0.0240803079568321,1,0.000673147554736908,0.00729853750968795,0.243181021619847
"52",-1.82921061602428,-1.80162805589026,-1.77404015753526,0.0551704584890274,1,-0.00162805589026216,0.0167479391398515,0.124834620494562,0.141623088304516,0.158414900265287,0.0335802797707254,1,-0.00837691169548449,0.0101938687338706,0.58390943499588,0.745130515573501,0.906358586008252,0.322449151012372,1,0.0451305155735011,0.0980157809729747,0.345231851145319,0.477367990380679,0.653764369780864,0.308532518635545,1,-0.0226320096193205,0.0943057359281394,-0.49973863697494,0.999726208276693,0.999887000872894,0.999960310344949,0.000234102068256137,0,0.999887000872894,7.63937963319673e-05,0.241887188743844,0.253991103693469,0.266440325869151,0.0245531371253071,1,0.00399110369346944,0.00744026044675144,0.245652063418918
"53",-1.84611621105283,-1.81970667964939,-1.79329267896114,0.0528235320916923,1,-0.0197066796493937,0.0160354924268576,0.140326347740712,0.156399630595315,0.172476525506458,0.0321501777657467,1,0.00639963059531518,0.00975973117839229,0.38280607889694,0.533715993426223,0.684640059649378,0.301833980752438,0,-0.166284006573777,0.0917518343124623,0.306260498348544,0.415856496326137,0.574349946575443,0.268089448226899,1,-0.0841435036738628,0.0822567796145555,-0.499771650969012,0.999725409620224,0.999884397483458,0.999959956333356,0.000234546713131278,0,0.999884397483458,7.57921216017735e-05,0.221768418748267,0.23284763344756,0.244226906855523,0.0224584881072554,0,-0.0171523665524402,0.0068054939718731,0.22529749326525
"54",-1.83270646837664,-1.80557786826993,-1.77844284286121,0.0542636255154303,1,-0.00557786826992968,0.0164726405228358,0.131612045935685,0.148142665210761,0.164677134054333,0.033065088118648,1,-0.00185733478923869,0.0100374658205209,0.656308444181917,0.82276397317015,0.989201167382586,0.332892723200669,1,0.12276397317015,0.101193299337654,0.37233834985368,0.50722519004201,0.698315432176528,0.325977082322848,1,0.00722519004201005,0.0999097188581785,-0.499869609254964,0.999871458349807,0.999956129108316,0.999988552817373,0.000117094467565915,0,0.999956129108316,3.93028910260708e-05,0.236106906006238,0.24758991086332,0.259721236279508,0.0236143302732693,1,-0.00241008913668025,0.00715696509767337,0.240876744336536
"55",-1.78241492920193,-1.75528941750269,-1.72815777372271,0.0542571554792151,0,0.0447105824973122,0.0164706796350369,0.133122163053195,0.149652830741621,0.16618709233164,0.0330649292784453,1,-0.000347169258379021,0.0100374202960509,0.622007724663572,0.789031695463827,0.956060024583274,0.334052299919702,1,0.0890316954638271,0.101548916269079,0.376730881902854,0.509866801486438,0.705844641349202,0.329113759446348,1,0.00986680148643759,0.101077764370113,-0.499876913471492,0.999879288122309,0.999960553041504,0.999990275325933,0.000110987203623791,0,0.999960553041504,3.75998331437646e-05,0.236270599508414,0.24772815172796,0.259879917560788,0.0236093180523745,1,-0.00227184827203966,0.00715568684073325,0.241125694031237
"56",-1.83597852379637,-1.8095091937926,-1.78303304113715,0.0529454826592206,1,-0.00950919379260351,0.0160724898603812,0.127675873052334,0.143792042606906,0.159911829581885,0.0322359565295509,1,-0.00620795739309427,0.00978577004709251,0.738103499241256,0.902001094612017,1.06592818967541,0.327824690434151,0,0.202001094612017,0.0996542047650989,0.362896895369711,0.492494414562064,0.680507885276027,0.317610989906316,1,-0.00750558543793622,0.0974678688817397,-0.499782304327663,0.999778962229782,0.999913388729263,0.999972516344879,0.000193554115096806,0,0.999913388729263,6.32913556115685e-05,0.223327756627136,0.234270403185133,0.245918380522434,0.0225906238952979,0,-0.015729596814867,0.00684716298154758,0.22692481120591
"57",-1.85454125227572,-1.82745443019925,-1.80036118219423,0.0541800700814907,0,-0.0274544301992494,0.0164472753508531,0.114659086034397,0.131170099886684,0.147684408865663,0.0330253228312654,0,-0.0188299001133158,0.010025399356036,0.393095681941543,0.57678262929266,0.760479329048138,0.367383647106595,1,-0.12321737070734,0.111678595996397,0.454651888516716,0.618240834030562,0.852006458663668,0.397354570146953,1,0.118240834030562,0.121840821850918,-0.499896193095424,0.999916043023445,0.999972665448412,0.999993079155632,7.70361321864588e-05,0,0.999972665448412,2.61892009478476e-05,0.235731789015484,0.247312533385432,0.259267715161994,0.02353592614651,1,-0.00268746661456803,0.00713211458786193,0.240807607939919
