"","intlower","int","inthigher","intwidth","intcoverage","intbias","intsd","x1lower","X1","x1higher","x1width","x1coverage","x1bias","x1sd","x2lower","X2","x2higher","x2width","x2coverage","x2bias","x2sd","sig2lower","sig2","sig2higher","sig2width","sig2coverage","sig2bias","sig2sd","sig0lower","sig0","sig0higher","sig0width","sig0coverage","sig0bias","sig0sd","RMSE"
"85",-1.84488000728271,-1.81342193834933,-1.78196386941594,0.0629161378667673,1,-0.0134219383493253,0.0160422289372013,0.127740157381337,0.146937986211114,0.166135815040891,0.0383956576595538,1,-0.00306201378888601,0.00979004673925355,0.581572229123895,0.738688164227855,0.895804099331815,0.31423187020792,1,0.0386881642278551,0.080122203494361,0.213273331676662,0.317411693596682,0.472399349885239,0.259126018208578,0,-0.1825883,0.0643944706904077,0.224019443467353,0.237065285683824,0.250870856593941,0.0268514131265886,1,-0.0129347,0.00684631978746944,0.232053851779558
"86",-1.85594859896867,-1.8233166742498,-1.79068474953092,0.0652638494377542,1,-0.0233166742497954,0.0166408436611383,0.12101259901122,0.140926411511043,0.160840224010867,0.0398276249996464,1,-0.0090735884889567,0.0101551668607239,0.407011470537327,0.637313532696061,0.867615594854794,0.460604124317467,1,-0.0626864673039393,0.117443903301365,0.459924771486828,0.685815207843791,1.02265093873791,0.56272616725108,1,0.1858152,0.139805746889081,0.241030598235779,0.25506757076605,0.269922018750716,0.0288914205149373,1,0.00506760000000001,0.00736646134783878,0.249664715552129
"87",-1.82647406475646,-1.79407208101423,-1.76167009727199,0.0648039674844711,1,0.00592791898577372,0.0165235838955391,0.116789198055017,0.136562760411851,0.156336322768686,0.0395471247136693,1,-0.0134372395881487,0.0100836454680071,0.546539442730594,0.756055621200985,0.965571799671377,0.419032356940784,1,0.0560556212009854,0.106844018562841,0.380643830875776,0.566997896172597,0.844586430113637,0.463942599237862,1,0.0669979000000001,0.115279583696663,0.237649596030514,0.251489332327852,0.266135038018697,0.0284854419881832,1,0.00148930000000003,0.0072629489629473,0.246164321293155
"88",-1.81975359042234,-1.78775498887372,-1.75575638732511,0.0639972030972329,1,0.012245011126278,0.0163178767520736,0.123577472653526,0.143105057000728,0.16263264134793,0.0390551686944042,1,-0.00689494299927221,0.00995820752226416,0.556071072689772,0.729550723840435,0.903030374991098,0.346959302301325,1,0.0295507238404349,0.0884669776011396,0.260641331111025,0.387629860531913,0.576489185868934,0.315847854757908,1,-0.1123701,0.0784976094749926,0.231778600272321,0.245276260747177,0.259559959441611,0.0277813591692902,1,-0.0047237,0.00708342866993023,0.240088077268986
"89",-1.80915492978988,-1.77591557356905,-1.74267621734822,0.0664787124416564,1,0.0240844264309481,0.016950606960297,0.134262549922996,0.154547291348098,0.1748320327732,0.0405694828502042,1,0.00454729134809798,0.0103443242674088,0.52155159367371,0.706046864946792,0.890542136219875,0.368990542546165,1,0.00604686494679241,0.094084458453614,0.294943116437265,0.43861203621789,0.652263123272868,0.357320006835603,1,-0.061388,0.0888055233883235,0.250100143532161,0.264664730052841,0.28007748554105,0.0299773420088888,0,0.0146647,0.00764333965878748,0.259065552272508
"90",-1.83913206075381,-1.80646000609066,-1.77378795142751,0.0653441093263054,1,-0.00646000609065944,0.0166613081643685,0.144417887756309,0.164356652942421,0.184295418128532,0.0398775303722227,1,0.0143566529424206,0.0101678916311757,0.662159750673854,0.817405552302894,0.972651353931935,0.310491603258081,1,0.117405552302894,0.0791685178307141,0.208008554833235,0.309535539886035,0.460616874769185,0.25260831993595,0,-0.1904645,0.0627758624019124,0.241647202446767,0.255719532133999,0.270611364223167,0.0289641617763995,1,0.00571949999999999,0.00738500852803294,0.250316053404925
"91",-1.84558201587339,-1.81358138713835,-1.7815807584033,0.064001257470093,1,-0.0135813871383461,0.0163189105278238,0.138469798007495,0.157998353962841,0.177526909918188,0.0390571119106921,1,0.00799835396284149,0.00995870299960307,0.398350493131752,0.625621073673781,0.85289165421581,0.454541161084058,1,-0.0743789263262192,0.115897981260916,0.447916222222649,0.667925859079069,0.996000883854467,0.548084661631818,1,0.1679259,0.136167696708222,0.231795022961143,0.245293739072124,0.25957856065818,0.0277835376970371,1,-0.0047063,0.00708398407629386,0.240097783233929
"92",-1.84102719782669,-1.80810017239231,-1.77517314695793,0.065854050868754,1,-0.00810017239230798,0.0167913320222518,0.148618531531034,0.168712905898306,0.188807280265577,0.0401887487345433,1,0.0187129058983055,0.0102472454565548,0.633906273781604,0.789616726429997,0.945327179078391,0.311420905296787,1,0.0896167264299972,0.079405469375456,0.209087909286658,0.311353987522832,0.463638982651369,0.254551073364711,0,-0.188646,0.0632529959088335,0.245433637928336,0.259726780431918,0.274852302410263,0.0294186644819272,1,0.00972679999999998,0.00750089316836615,0.254238863144828
"93",-1.83880307515354,-1.80585619016523,-1.77290930517692,0.0658937699766211,1,-0.00585619016523053,0.0168014595196346,0.111098666350087,0.131204765895554,0.151310865441021,0.0402121990909341,1,-0.0187952341044457,0.0102532247807574,0.56373953646116,0.775183802463498,0.986628068465836,0.422888532004676,1,0.0751838024634978,0.107827258241791,0.387863307031229,0.577423219629646,0.859626493466218,0.471763186434988,1,0.0774232,0.117231589710331,0.245710258602658,0.260019370126669,0.275161782929068,0.0294515243264098,1,0.0100194,0.007509271537558,0.254513944936128
"94",-1.85969450975322,-1.8279585006322,-1.79622249151117,0.0634720182420527,1,-0.0279585006321974,0.0161839661852967,0.12132793902213,0.140695155868288,0.160062372714447,0.0387344336923173,1,-0.00930484413171173,0.00987642716342289,0.447219357722786,0.637802814020681,0.828386270318576,0.38116691259579,1,-0.0621971859793188,0.0971891645367148,0.314599438094022,0.468656416904152,0.698153939613193,0.383554501519171,1,-0.0313436,0.0953039204434251,0.2279842251082,0.241261184609727,0.255311345211118,0.0273271201029184,1,-0.00873879999999999,0.00696761093700024,0.236154697670596
"95",-1.83198273136643,-1.79930367674176,-1.76662462211709,0.06535810924934,1,0.000696323258240872,0.0166648778362848,0.14165643173726,0.16159910667344,0.181541781609621,0.0398853498723619,1,0.0115991066734404,0.0101698854314256,0.44275961456425,0.64788678243667,0.853013950309091,0.410254335744841,1,-0.0521132175633299,0.104605816562281,0.364894314155914,0.543269562982904,0.808841921109041,0.443947606953127,1,0.0432696,0.110318418898871,0.241732676251708,0.255810175941029,0.270707490313973,0.0289748140622653,1,0.00581019999999999,0.00738772444248521,0.250394470724137
